"Name","Angle","Shift X","Shift Y","Avg. Mean IoU"
"feasible-pond-126","1.05","30","50","0.608"
"still-grass-127","1.05","30","60","0.612"
"solar-sun-128","1.05","40","0","0.604"
"treasured-thunder-129","1.05","40","10","0.608"
"stellar-sea-130","1.05","40","20","0.602"
"fanciful-fire-131","1.05","40","30","0.607"
"winter-dream-132","1.05","40","40","0.605"
"sage-deluge-133","1.05","40","50","0.612"
"light-rain-134","1.05","40","60","0.613"
"serene-monkey-135","1.05","50","0","0.604"
"cool-water-136","1.05","50","10","0.61"
"fresh-wind-137","1.05","50","20","0.603"
"stellar-haze-138","1.05","50","30","0.608"
"fallen-hill-139","1.05","50","40","0.609"
"silvery-firebrand-140","1.05","50","50","0.611"
"worldly-resonance-141","1.05","50","60","0.613"
"usual-glitter-142","1.05","60","0","0.605"
"cool-sun-143","1.05","60","10","0.608"
"vivid-galaxy-144","1.05","60","20","0.605"
"worthy-star-145","1.05","60","30","0.606"
"twilight-brook-146","1.05","60","40","0.61"
"eager-snow-147","1.05","60","50","0.611"
"vital-shape-148","1.05","60","60","0.616"
"genial-cherry-149","1.57","0","0","0.568"
"revived-lion-150","1.57","0","10","0.568"
"dutiful-meadow-151","1.57","0","20","0.57"
"lucky-waterfall-152","1.57","0","30","0.574"
"fine-donkey-153","1.57","0","40","0.571"
"jumping-firefly-154","1.57","0","50","0.571"
"royal-durian-155","1.57","0","60","0.576"
"ancient-dust-156","1.57","10","0","0.569"
"polished-haze-157","1.57","10","10","0.57"
"ruby-yogurt-158","1.57","10","20","0.576"
"comic-water-159","1.57","10","30","0.575"
"zesty-dawn-160","1.57","10","40","0.577"
"gallant-cloud-161","1.57","10","50","0.575"
"dutiful-sunset-162","1.57","10","60","0.58"
"gentle-wind-163","1.57","20","0","0.571"
"gentle-frost-164","1.57","20","10","0.574"
"hardy-lake-165","1.57","20","20","0.578"
"jolly-surf-166","1.57","20","30","0.574"
"deep-water-167","1.57","20","40","0.577"
"glad-dream-168","1.57","20","50","0.579"
"dashing-salad-169","1.57","20","60","0.581"
"pleasant-energy-170","1.57","30","0","0.574"
"ancient-morning-171","1.57","30","10","0.573"
"gallant-glade-172","1.57","30","20","0.579"
"drawn-snowflake-173","1.57","30","30","0.579"
"fanciful-yogurt-174","1.57","30","40","0.581"
"chocolate-grass-175","1.57","30","50","0.58"
"dazzling-microwave-176","1.57","30","60","0.582"
"quiet-sea-177","1.57","40","0","0.571"
"crisp-valley-178","1.57","40","10","0.57"
"playful-planet-179","1.57","40","20","0.576"
"feasible-pine-180","1.57","40","30","0.578"
"valiant-mountain-181","1.57","40","40","0.577"
"earnest-shadow-182","1.57","40","50","0.577"
"rare-yogurt-183","1.57","40","60","0.58"
"dutiful-totem-184","1.57","50","0","0.577"
"copper-yogurt-185","1.57","50","10","0.577"
"worthy-snow-186","1.57","50","20","0.581"
"smart-butterfly-187","1.57","50","30","0.584"
"feasible-plant-188","1.57","50","40","0.582"
"cerulean-smoke-189","1.57","50","50","0.585"
"exalted-field-190","1.57","50","60","0.587"
"solar-gorge-191","1.57","60","0","0.578"
"stellar-wildflower-192","1.57","60","10","0.581"
"woven-frog-193","1.57","60","20","0.584"
"lunar-monkey-194","1.57","60","30","0.582"
"graceful-glitter-195","1.57","60","40","0.586"
"toasty-violet-196","1.57","60","50","0.586"
"effortless-moon-197","1.57","60","60","0.587"
"zany-yogurt-198","2.09","0","0","0.539"
"glamorous-frost-199","2.09","0","10","0.54"
"gallant-field-200","2.09","0","20","0.535"
"ruby-sunset-201","2.09","0","30","0.542"
"firm-vortex-202","2.09","0","40","0.539"
"lunar-sky-203","2.09","0","50","0.54"
"radiant-haze-204","2.09","0","60","0.545"
"charmed-morning-205","2.09","10","0","0.541"
"gallant-voice-206","2.09","10","10","0.541"
"cerulean-plant-207","2.09","10","20","0.538"
"fancy-shape-208","2.09","10","30","0.542"
"dutiful-hill-209","2.09","10","40","0.541"
"absurd-planet-210","2.09","10","50","0.539"
"misunderstood-resonance-211","2.09","10","60","0.545"
"young-bee-212","2.09","20","0","0.537"
"denim-disco-213","2.09","20","10","0.539"
"floral-breeze-214","2.09","20","20","0.536"
"lunar-sun-215","2.09","20","30","0.542"
"polar-dream-216","2.09","20","40","0.537"
"sunny-paper-217","2.09","20","50","0.54"
"atomic-shape-218","2.09","20","60","0.543"
"twilight-dawn-219","2.09","30","0","0.543"
"bright-lake-220","2.09","30","10","0.545"
"volcanic-wind-221","2.09","30","20","0.538"
"stoic-frost-222","2.09","30","30","0.542"
"fallen-galaxy-223","2.09","30","40","0.542"
"pious-meadow-224","2.09","30","50","0.54"
"proud-donkey-225","2.09","30","60","0.547"
"elated-leaf-226","2.09","40","0","0.541"
"polar-grass-227","2.09","40","10","0.541"
"copper-yogurt-228","2.09","40","20","0.538"
"stellar-forest-229","2.09","40","30","0.544"
"zesty-sun-230","2.09","40","40","0.542"
"clear-resonance-231","2.09","40","50","0.54"
"eager-universe-232","2.09","40","60","0.547"
"effortless-breeze-233","2.09","50","0","0.546"
"lyric-sunset-234","2.09","50","10","0.542"
"rose-night-235","2.09","50","20","0.542"
"polar-wildflower-236","2.09","50","30","0.549"
"comfy-glade-237","2.09","50","40","0.543"
"zesty-butterfly-238","2.09","50","50","0.546"
"worldly-pyramid-239","2.09","50","60","0.548"
"eternal-pond-240","2.09","60","0","0.544"
"spring-planet-241","2.09","60","10","0.546"
"leafy-dream-242","2.09","60","20","0.54"
"fragrant-lake-243","2.09","60","30","0.545"
"desert-deluge-244","2.09","60","40","0.545"
"fragrant-snowball-245","2.09","60","50","0.543"
"mild-spaceship-246","2.09","60","60","0.551"
"silvery-disco-247","2.62","0","0","0.537"
"glamorous-sound-248","2.62","0","10","0.546"
"devout-lion-249","2.62","0","20","0.543"
"wild-moon-250","2.62","0","30","0.544"
"celestial-sky-251","2.62","0","40","0.547"
"copper-universe-252","2.62","0","50","0.546"
"vital-firefly-253","2.62","0","60","0.548"
"zesty-valley-254","2.62","10","0","0.54"
"cerulean-salad-255","2.62","10","10","0.553"
"genial-sponge-256","2.62","10","20","0.55"
"misty-shadow-257","2.62","10","30","0.548"
"vital-universe-258","2.62","10","40","0.555"
"chocolate-capybara-259","2.62","10","50","0.549"
"rich-flower-260","2.62","10","60","0.555"
"fresh-lake-261","2.62","20","0","0.542"
"winter-fire-262","2.62","20","10","0.546"
"astral-salad-263","2.62","20","20","0.547"
"toasty-meadow-264","2.62","20","30","0.548"
"stellar-sun-265","2.62","20","40","0.55"
"efficient-totem-266","2.62","20","50","0.552"
"rose-fog-267","2.62","20","60","0.546"
"fresh-wood-268","2.62","30","0","0.543"
"youthful-leaf-269","2.62","30","10","0.549"
"comic-firefly-270","2.62","30","20","0.548"
"trim-totem-271","2.62","30","30","0.547"
"laced-violet-272","2.62","30","40","0.555"
"leafy-dream-273","2.62","30","50","0.551"
"feasible-frog-274","2.62","30","60","0.553"
"devout-sun-275","2.62","40","0","0.549"
"stellar-glitter-276","2.62","40","10","0.554"
"giddy-bird-277","2.62","40","20","0.555"
"cerulean-eon-278","2.62","40","30","0.553"
"wandering-dew-279","2.62","40","40","0.558"
"solar-sun-280","2.62","40","50","0.555"
"misty-galaxy-281","2.62","40","60","0.559"
"neat-universe-282","2.62","50","0","0.548"
"elated-water-283","2.62","50","10","0.554"
"valiant-pyramid-284","2.62","50","20","0.553"
"cerulean-sky-285","2.62","50","30","0.549"
"twilight-bee-286","2.62","50","40","0.558"
"noble-elevator-287","2.62","50","50","0.556"
"smart-moon-288","2.62","50","60","0.556"
"ethereal-grass-289","2.62","60","0","0.549"
"driven-water-290","2.62","60","10","0.557"
"balmy-oath-291","2.62","60","20","0.553"
"fluent-universe-292","2.62","60","30","0.552"
"crimson-gorge-293","2.62","60","40","0.559"
"wobbly-terrain-294","2.62","60","50","0.558"
"golden-pond-295","2.62","60","60","0.555"
"bright-water-296","3.14","0","0","0.579"
"lucky-night-297","3.14","0","10","0.581"
"dauntless-feather-298","3.14","0","20","0.575"
"vibrant-frost-299","3.14","0","30","0.583"
"ethereal-dragon-300","3.14","0","40","0.585"
"iconic-sunset-301","3.14","0","50","0.582"
"ethereal-shadow-302","3.14","0","60","0.591"
"denim-paper-303","3.14","10","0","0.575"
"winter-salad-304","3.14","10","10","0.581"
"firm-puddle-305","3.14","10","20","0.579"
"rural-morning-306","3.14","10","30","0.586"
"fresh-field-307","3.14","10","40","0.588"
"firm-grass-308","3.14","10","50","0.584"
"iconic-butterfly-309","3.14","10","60","0.587"
"dashing-silence-310","3.14","20","0","0.576"
"fanciful-disco-311","3.14","20","10","0.583"
"worldly-gorge-312","3.14","20","20","0.578"
"amber-sky-313","3.14","20","30","0.585"
"light-night-314","3.14","20","40","0.589"
"wild-monkey-315","3.14","20","50","0.585"
"fallen-cherry-316","3.14","20","60","0.59"
"lilac-snow-317","3.14","30","0","0.58"
"flowing-firefly-318","3.14","30","10","0.589"
