"Name","Angle","Shift X","Shift Y","Avg. Mean IoU"
"cosmic-sea-370","0.2","30","50","0.778"
"smart-brook-369","0.2","30","40","0.778"
"effortless-galaxy-368","0.2","30","30","0.776"
"whole-thunder-367","0.2","30","20","0.775"
"gentle-violet-366","0.2","30","10","0.773"
"drawn-firebrand-365","0.2","30","0","0.774"
"faithful-dragon-364","0.2","20","60","0.78"
"faithful-cherry-363","0.2","20","50","0.776"
"light-sky-362","0.2","20","40","0.776"
"frosty-haze-361","0.2","20","30","0.774"
"different-thunder-360","0.2","20","20","0.775"
"pleasant-breeze-359","0.2","20","10","0.771"
"copper-hill-358","0.2","20","0","0.773"
"amber-dragon-357","0.2","10","60","0.775"
"splendid-brook-356","0.2","10","50","0.777"
"kind-thunder-355","0.2","10","40","0.773"
"comic-dust-354","0.2","10","30","0.774"
"lively-mountain-353","0.2","10","20","0.773"
"sunny-pond-352","0.2","10","10","0.771"
"dulcet-field-351","0.2","10","0","0.773"
"true-elevator-350","0.2","0","60","0.772"
"eternal-glitter-349","0.2","0","50","0.773"
"efficient-wave-348","0.2","0","40","0.773"
"splendid-firefly-347","0.2","0","30","0.772"
"winter-waterfall-346","0.2","0","20","0.771"
"dry-fog-345","0.2","0","10","0.769"
"grateful-violet-344","0.2","0","0","0.77"
"prime-hill-343","0.1","60","60","0.792"
"lilac-glitter-342","0.1","60","50","0.791"
"cool-violet-341","0.1","60","40","0.792"
"proud-moon-340","0.1","60","30","0.793"
"worthy-sunset-339","0.1","60","20","0.793"
"wild-gorge-338","0.1","60","10","0.791"
"different-bush-337","0.1","60","0","0.791"
"quiet-dew-336","0.1","50","60","0.787"
"astral-dust-335","0.1","50","50","0.79"
"crimson-gorge-334","0.1","50","40","0.787"
"neat-dust-333","0.1","50","30","0.788"
"good-sunset-332","0.1","50","20","0.787"
"different-microwave-331","0.1","50","10","0.788"
"gallant-glade-330","0.1","50","0","0.788"
"vibrant-resonance-329","0.1","40","60","0.787"
"glorious-breeze-328","0.1","40","50","0.789"
"colorful-violet-327","0.1","40","40","0.786"
"earthy-plasma-326","0.1","40","30","0.789"
"drawn-dust-325","0.1","40","20","0.785"
"vague-durian-324","0.1","40","10","0.785"
"good-energy-323","0.1","40","0","0.787"
"ethereal-sky-322","0.1","30","60","0.791"
"morning-forest-321","0.1","30","50","0.791"
"amber-dragon-320","0.1","30","40","0.789"
"snowy-snowflake-319","0.1","30","30","0.789"
"splendid-dragon-318","0.1","30","20","0.789"
"legendary-yogurt-317","0.1","30","10","0.787"
"hardy-wood-316","0.1","30","0","0.786"
"icy-tree-315","0.1","20","60","0.788"
"generous-salad-314","0.1","20","50","0.789"
"swift-forest-313","0.1","20","40","0.786"
"glorious-frost-312","0.1","20","30","0.788"
"wild-smoke-311","0.1","20","20","0.785"
"decent-river-310","0.1","20","10","0.785"
"prime-shape-309","0.1","20","0","0.784"
"swept-yogurt-308","0.1","10","60","0.788"
"dark-oath-307","0.1","10","50","0.784"
"jolly-butterfly-306","0.1","10","40","0.785"
"eternal-wind-305","0.1","10","30","0.786"
"treasured-jazz-304","0.1","10","20","0.784"
"kind-wind-303","0.1","10","10","0.781"
"astral-surf-302","0.1","10","0","0.785"
"lucky-dust-301","0.1","0","60","0.785"
"treasured-feather-300","0.1","0","50","0.786"
"effortless-energy-299","0.1","0","40","0.786"
"fallen-universe-298","0.1","0","30","0.785"
"restful-frog-297","0.1","0","20","0.782"
"wobbly-universe-296","0.1","0","10","0.783"
"lucky-fire-295","0.1","0","0","0.783"
"fast-feather-294","0","60","60","0.79"
"faithful-dew-293","0","60","50","0.79"
"expert-fire-292","0","60","40","0.792"
"blooming-galaxy-291","0","60","30","0.795"
"quiet-rain-290","0","60","20","0.792"
"cosmic-aardvark-289","0","60","10","0.793"
"iconic-planet-288","0","60","0","0.792"
"grateful-shadow-287","0","50","60","0.791"
"fragrant-moon-286","0","50","50","0.788"
"toasty-donkey-285","0","50","40","0.792"
"unique-donkey-284","0","50","30","0.794"
"charmed-capybara-283","0","50","20","0.791"
"happy-star-282","0","50","10","0.791"
"chocolate-lake-281","0","50","0","0.788"
"astral-donkey-280","0","40","60","0.793"
"stoic-morning-279","0","40","50","0.787"
"glorious-aardvark-278","0","40","40","0.791"
"whole-haze-277","0","40","30","0.795"
"drawn-river-276","0","40","20","0.79"
"copper-wildflower-275","0","40","10","0.791"
"fearless-dew-274","0","40","0","0.79"
"silvery-elevator-273","0","30","60","0.791"
"proud-butterfly-272","0","30","50","0.791"
"treasured-bee-271","0","30","40","0.792"
"pleasant-planet-270","0","30","30","0.795"
"dainty-glade-269","0","30","20","0.789"
"dandy-bush-268","0","30","10","0.793"
"soft-violet-267","0","30","0","0.789"
"stellar-mountain-266","0","20","60","0.793"
"rose-planet-265","0","20","50","0.792"
"stellar-wood-264","0","20","40","0.794"
"smart-snowball-263","0","20","30","0.794"
"effortless-bush-262","0","20","20","0.791"
"proud-grass-261","0","20","10","0.792"
"sparkling-snowball-260","0","20","0","0.793"
"logical-music-259","0","10","60","0.795"
"fine-tree-258","0","10","50","0.788"
"earthy-durian-257","0","10","40","0.793"
"fluent-vortex-256","0","10","30","0.793"
"electric-dew-255","0","10","20","0.79"
"major-night-254","0","10","10","0.791"
"crimson-star-253","0","10","0","0.789"
"playful-eon-252","0","0","60","0.791"
"wandering-sunset-251","0","0","50","0.787"
"dauntless-moon-250","0","0","40","0.79"
"chocolate-fog-249","0","0","30","0.794"
"ethereal-violet-248","0","0","20","0.788"
"copper-wave-247","0","0","10","0.788"
"classic-dragon-246","0","0","0","0.788"
"warm-aardvark-245","-0.1","60","60","0.791"
"curious-wind-244","-0.1","60","50","0.789"
"robust-water-243","-0.1","60","40","0.789"
"misty-field-242","-0.1","60","30","0.79"
"balmy-night-241","-0.1","60","20","0.789"
"lucky-energy-240","-0.1","60","10","0.786"
"restful-silence-239","-0.1","60","0","0.786"
"worthy-darkness-238","-0.1","50","60","0.787"
"denim-paper-237","-0.1","50","50","0.787"
"devoted-shadow-236","-0.1","50","40","0.788"
"unique-jazz-235","-0.1","50","30","0.787"
"hardy-field-234","-0.1","50","20","0.786"
"wise-serenity-233","-0.1","50","10","0.784"
"divine-silence-232","-0.1","50","0","0.783"
"vivid-elevator-231","-0.1","40","60","0.787"
"confused-cosmos-230","-0.1","40","50","0.782"
"brisk-frog-229","-0.1","40","40","0.782"
"daily-tree-228","-0.1","40","30","0.783"
"vivid-eon-227","-0.1","40","20","0.784"
"golden-wave-226","-0.1","40","10","0.781"
"polished-sky-225","-0.1","40","0","0.78"
"drawn-meadow-224","-0.1","30","60","0.787"
"expert-microwave-223","-0.1","30","50","0.785"
"splendid-shadow-222","-0.1","30","40","0.786"
"polished-universe-221","-0.1","30","30","0.786"
"revived-violet-220","-0.1","30","20","0.786"
"devoted-durian-219","-0.1","30","10","0.781"
"proud-totem-218","-0.1","30","0","0.782"
"radiant-totem-217","-0.1","20","60","0.787"
"clear-frog-216","-0.1","20","50","0.785"
"tough-pine-215","-0.1","20","40","0.787"
"azure-wave-214","-0.1","20","30","0.787"
"ethereal-music-213","-0.1","20","20","0.784"
"grateful-oath-212","-0.1","20","10","0.783"
"decent-pine-211","-0.1","20","0","0.782"
"leafy-breeze-210","-0.1","10","60","0.786"
"hopeful-energy-209","-0.1","10","50","0.785"
"fancy-gorge-208","-0.1","10","40","0.785"
"rich-elevator-207","-0.1","10","30","0.784"
"divine-brook-206","-0.1","10","20","0.784"
"lilac-planet-205","-0.1","10","10","0.78"
"restful-dawn-204","-0.1","10","0","0.779"
"devoted-sky-203","-0.1","0","60","0.785"
"wise-snowflake-202","-0.1","0","50","0.783"
"warm-snow-201","-0.1","0","40","0.783"
"usual-sun-200","-0.1","0","30","0.783"
"rare-plasma-199","-0.1","0","20","0.784"
"fluent-paper-198","-0.1","0","10","0.779"
"smooth-music-197","-0.1","0","0","0.779"
"lilac-dawn-196","-0.2","60","60","0.784"
"lilac-darkness-195","-0.2","60","50","0.783"
"dashing-night-194","-0.2","60","40","0.78"
"dazzling-dust-193","-0.2","60","30","0.783"
"proud-dew-192","-0.2","60","20","0.78"
"sleek-paper-191","-0.2","60","10","0.779"
"absurd-wind-190","-0.2","60","0","0.779"
"smart-elevator-189","-0.2","50","60","0.777"
"robust-dust-188","-0.2","50","50","0.78"
"silvery-grass-187","-0.2","50","40","0.776"
"major-bee-186","-0.2","50","30","0.778"
"earnest-totem-185","-0.2","50","20","0.777"
"peach-bird-184","-0.2","50","10","0.772"
"denim-dawn-183","-0.2","50","0","0.777"
"firm-capybara-182","-0.2","40","60","0.778"
"soft-galaxy-181","-0.2","40","50","0.778"
"fresh-leaf-180","-0.2","40","40","0.776"
"fiery-dawn-179","-0.2","40","30","0.779"
"driven-dream-178","-0.2","40","20","0.776"
"unique-monkey-177","-0.2","40","10","0.776"
"wise-glitter-176","-0.2","40","0","0.776"
"vivid-mountain-175","-0.2","30","60","0.778"
"ancient-silence-174","-0.2","30","50","0.778"
"earthy-silence-173","-0.2","30","40","0.776"
"flowing-frost-172","-0.2","30","30","0.777"
"swept-bird-171","-0.2","30","20","0.774"
"youthful-lion-170","-0.2","30","10","0.774"
"wild-breeze-169","-0.2","30","0","0.774"
"whole-valley-168","-0.2","20","60","0.778"
"whole-durian-167","-0.2","20","50","0.779"
"lilac-night-166","-0.2","20","40","0.776"
"radiant-field-165","-0.2","20","30","0.776"
"light-gorge-164","-0.2","20","20","0.774"
"sunny-frost-163","-0.2","20","10","0.774"
"visionary-capybara-162","-0.2","20","0","0.775"
"zesty-bird-161","-0.2","10","60","0.779"
"rose-monkey-160","-0.2","10","50","0.778"
"visionary-darkness-159","-0.2","10","40","0.775"
"fiery-star-158","-0.2","10","30","0.777"
"magic-terrain-157","-0.2","10","20","0.774"
"colorful-aardvark-156","-0.2","10","10","0.776"
"snowy-firebrand-155","-0.2","10","0","0.774"
"crimson-moon-154","-0.2","0","60","0.774"
"glad-planet-153","-0.2","0","50","0.777"
"dulcet-wind-152","-0.2","0","40","0.773"
"absurd-gorge-151","-0.2","0","30","0.773"
"fresh-hill-150","-0.2","0","20","0.772"
"smart-feather-149","-0.2","0","10","0.771"
"desert-terrain-148","-0.2","0","0","0.772"
"sweet-oath-147","-0.3","60","60","0.757"
"blooming-sky-146","-0.3","60","50","0.758"
"hearty-puddle-145","-0.3","60","40","0.76"
"elated-pine-144","-0.3","60","30","0.76"
"still-star-143","-0.3","60","20","0.758"
"absurd-butterfly-142","-0.3","60","10","0.758"
"eager-frost-141","-0.3","60","0","0.754"
"exalted-sky-140","-0.3","50","60","0.758"
"warm-darkness-139","-0.3","50","50","0.759"
"sandy-galaxy-138","-0.3","50","40","0.758"
"happy-hill-137","-0.3","50","30","0.758"
"glorious-jazz-136","-0.3","50","20","0.762"
"winter-vortex-135","-0.3","50","10","0.759"
"clean-oath-134","-0.3","50","0","0.754"
"mild-sun-133","-0.3","40","60","0.759"
"colorful-deluge-132","-0.3","40","50","0.755"
"efficient-sunset-131","-0.3","40","40","0.76"
"fiery-sea-130","-0.3","40","30","0.759"
"brisk-snow-129","-0.3","40","20","0.76"
"drawn-elevator-128","-0.3","40","10","0.758"
"legendary-shape-127","-0.3","40","0","0.754"
"fast-fog-126","-0.3","30","60","0.757"
"rural-yogurt-125","-0.3","30","50","0.756"
"vital-meadow-124","-0.3","30","40","0.756"
"lucky-dew-123","-0.3","30","30","0.76"
"eternal-violet-122","-0.3","30","20","0.759"
"lucky-mountain-121","-0.3","30","10","0.758"
"cosmic-wind-120","-0.3","30","0","0.757"
"dandy-tree-119","-0.3","20","60","0.759"
"dark-gorge-118","-0.3","20","50","0.757"
"glamorous-deluge-117","-0.3","20","40","0.758"
"true-water-116","-0.3","20","30","0.76"
"trim-universe-115","-0.3","20","20","0.76"
"genial-snowflake-114","-0.3","20","10","0.761"
"easy-gorge-113","-0.3","20","0","0.756"
"elated-glitter-112","-0.3","10","60","0.756"
"ruby-morning-111","-0.3","10","50","0.753"
"devout-snow-110","-0.3","10","40","0.757"
"silver-dawn-109","-0.3","10","30","0.761"
"noble-gorge-108","-0.3","10","20","0.76"
"absurd-durian-107","-0.3","10","10","0.756"
"fanciful-pine-106","-0.3","10","0","0.756"
"avid-sun-105","-0.3","0","60","0.758"
"grateful-planet-104","-0.3","0","50","0.756"
"pleasant-water-103","-0.3","0","40","0.756"
"sunny-brook-102","-0.3","0","30","0.76"
"crimson-star-101","-0.3","0","20","0.761"
"polar-bee-100","-0.3","0","10","0.759"
"misunderstood-firebrand-99","-0.3","0","0","0.755"
"ancient-lake-98","-0.4","60","60","0.737"
"rare-tree-97","-0.4","60","50","0.737"
"gentle-lion-96","-0.4","60","40","0.739"
"sandy-pond-95","-0.4","60","30","0.736"
"breezy-wind-94","-0.4","60","20","0.736"
"vivid-frog-93","-0.4","60","10","0.738"
"avid-serenity-92","-0.4","60","0","0.733"
"comic-puddle-91","-0.4","50","60","0.735"
"dashing-aardvark-90","-0.4","50","50","0.735"
"absurd-surf-89","-0.4","50","40","0.739"
"icy-night-88","-0.4","50","30","0.738"
"light-blaze-87","-0.4","50","20","0.736"
"royal-wildflower-86","-0.4","50","10","0.737"
"scarlet-cherry-85","-0.4","50","0","0.732"
"effortless-universe-84","-0.4","40","60","0.735"
"fallen-snow-83","-0.4","40","50","0.734"
"vital-hill-82","-0.4","40","40","0.737"
"flowing-violet-81","-0.4","40","30","0.734"
"whole-monkey-80","-0.4","40","20","0.734"
"celestial-shadow-79","-0.4","40","10","0.735"
"lively-oath-78","-0.4","40","0","0.73"
"good-star-77","-0.4","30","60","0.734"
"ancient-leaf-76","-0.4","30","50","0.734"
"glorious-donkey-75","-0.4","30","40","0.74"
"charmed-lion-74","-0.4","30","30","0.736"
"serene-brook-73","-0.4","30","20","0.733"
"expert-smoke-72","-0.4","30","10","0.737"
"magic-plant-71","-0.4","30","0","0.732"
"bumbling-rain-70","-0.4","20","60","0.738"
"sparkling-bush-69","-0.4","20","50","0.734"
"drawn-grass-68","-0.4","20","40","0.739"
"icy-elevator-67","-0.4","20","30","0.738"
"laced-dew-66","-0.4","20","20","0.737"
"dainty-vortex-65","-0.4","20","10","0.737"
"celestial-bee-64","-0.4","20","0","0.733"
"hardy-galaxy-63","-0.4","10","60","0.734"
"stellar-pine-62","-0.4","10","50","0.734"
"decent-oath-61","-0.4","10","40","0.736"
"helpful-eon-60","-0.4","10","30","0.736"
"comfy-wood-59","-0.4","10","20","0.732"
"winter-star-58","-0.4","10","10","0.735"
"colorful-frost-57","-0.4","10","0","0.729"
"dandy-energy-56","-0.4","0","60","0.733"
"amber-grass-55","-0.4","0","50","0.732"
"faithful-morning-54","-0.4","0","40","0.738"
"lyric-microwave-53","-0.4","0","30","0.735"
"eternal-music-52","-0.4","0","20","0.735"
"sparkling-sky-51","-0.4","0","10","0.736"
"scarlet-smoke-50","-0.4","0","0","0.732"
"denim-dust-49","-0.5","60","60","0.709"
"soft-aardvark-48","-0.5","60","50","0.704"
"swept-microwave-47","-0.5","60","40","0.711"
"wandering-planet-46","-0.5","60","30","0.708"
"apricot-rain-45","-0.5","60","20","0.71"
"fluent-meadow-44","-0.5","60","10","0.709"
"stellar-grass-43","-0.5","60","0","0.703"
"colorful-breeze-42","-0.5","50","60","0.707"
"robust-flower-41","-0.5","50","50","0.704"
"rose-shadow-40","-0.5","50","40","0.712"
"young-firefly-39","-0.5","50","30","0.704"
"zany-sky-38","-0.5","50","20","0.71"
"grateful-cherry-37","-0.5","50","10","0.71"
"snowy-pond-36","-0.5","50","0","0.7"
"denim-dust-35","-0.5","40","60","0.71"
"glowing-terrain-34","-0.5","40","50","0.704"
"laced-sun-33","-0.5","40","40","0.712"
"stellar-elevator-32","-0.5","40","30","0.708"
"cool-monkey-31","-0.5","40","20","0.71"
"sandy-moon-30","-0.5","40","10","0.71"
"super-microwave-29","-0.5","40","0","0.7"
"volcanic-deluge-28","-0.5","30","60","0.706"
"exalted-fire-27","-0.5","30","50","0.702"
"deep-microwave-26","-0.5","30","40","0.71"
"vital-spaceship-25","-0.5","30","30","0.702"
"ethereal-water-24","-0.5","30","20","0.708"
"lemon-cherry-23","-0.5","30","10","0.706"
"light-elevator-22","-0.5","30","0","0.696"
"warm-hill-21","-0.5","20","60","0.708"
"happy-hill-20","-0.5","20","50","0.704"
"light-bush-19","-0.5","20","40","0.711"
"iconic-voice-18","-0.5","20","30","0.707"
"polar-wildflower-17","-0.5","20","20","0.708"
"rare-surf-16","-0.5","20","10","0.705"
"celestial-darkness-15","-0.5","20","0","0.7"
"summer-star-14","-0.5","10","60","0.709"
"ruby-flower-13","-0.5","10","50","0.704"
"tough-dragon-12","-0.5","10","40","0.711"
"worthy-monkey-11","-0.5","10","30","0.707"
"pleasant-vortex-10","-0.5","10","20","0.71"
"jolly-resonance-9","-0.5","10","10","0.708"
"eternal-paper-8","-0.5","10","0","0.7"
"distinctive-fog-7","-0.5","0","60","0.707"
"glowing-sound-6","-0.5","0","50","0.704"
"fiery-firefly-5","-0.5","0","40","0.71"
"flowing-eon-4","-0.5","0","30","0.702"
"lilac-wave-3","-0.5","0","20","0.708"
"eager-hill-2","-0.5","0","10","0.706"
"noble-shadow-1","-0.5","0","0","0.697"
