"Name","Angle","Shift_X","Shift_Y","IoU"
"expert-armadillo-420","0.3","30","60","0.756"
"pretty-tree-419","0.3","30","50","0.756"
"solar-sunset-418","0.3","30","40","0.755"
"cerulean-star-417","0.3","30","30","0.755"
"proud-dawn-416","0.3","30","20","0.752"
"dandy-dew-415","0.3","30","10","0.755"
"fancy-haze-414","0.3","30","0","0.755"
"winter-water-413","0.3","20","60","0.759"
"good-microwave-412","0.3","20","50","0.756"
"ancient-bush-411","0.3","20","40","0.757"
"distinctive-snow-410","0.3","20","30","0.758"
"proud-frog-409","0.3","20","20","0.753"
"wise-sea-408","0.3","20","10","0.754"
"visionary-donkey-407","0.3","20","0","0.755"
"driven-deluge-406","0.3","10","60","0.755"
"atomic-sky-405","0.3","10","50","0.755"
"rich-flower-404","0.3","10","40","0.752"
"lively-donkey-403","0.3","10","30","0.754"
"lyric-glitter-402","0.3","10","20","0.753"
"brisk-hill-401","0.3","10","10","0.752"
"dry-frost-400","0.3","10","0","0.754"
"stellar-paper-399","0.3","0","60","0.756"
"lemon-bush-398","0.3","0","50","0.754"
"wise-totem-397","0.3","0","40","0.755"
"quiet-sponge-396","0.3","0","30","0.753"
"trim-resonance-395","0.3","0","20","0.754"
"bright-glade-394","0.3","0","10","0.751"
"azure-bee-393","0.3","0","0","0.753"
"dazzling-plasma-392","0.2","60","60","0.778"
"vivid-surf-391","0.2","60","50","0.779"
"noble-waterfall-390","0.2","60","40","0.779"
"revived-resonance-389","0.2","60","30","0.778"
"glamorous-dust-388","0.2","60","20","0.777"
"smart-glade-387","0.2","60","10","0.774"
"whole-sea-386","0.2","60","0","0.773"
"dulcet-blaze-385","0.2","50","60","0.779"
"pious-darkness-384","0.2","50","50","0.779"
"wandering-wind-383","0.2","50","40","0.779"
"driven-elevator-382","0.2","50","30","0.777"
"dutiful-pond-381","0.2","50","20","0.777"
"dutiful-cherry-380","0.2","50","10","0.774"
"royal-plant-379","0.2","50","0","0.774"
"snowy-rain-378","0.2","40","60","0.778"
"denim-wave-377","0.2","40","50","0.778"
"rose-shadow-376","0.2","40","40","0.777"
"prime-blaze-375","0.2","40","30","0.777"
"avid-microwave-374","0.2","40","20","0.774"
"generous-vortex-373","0.2","40","10","0.773"
"jolly-smoke-372","0.2","40","0","0.775"
"glowing-grass-371","0.2","30","60","0.775"
"fiery-snowflake-370","0.2","30","50","0.779"
"toasty-deluge-369","0.2","30","40","0.778"
"fragrant-bird-368","0.2","30","30","0.776"
"swift-sound-367","0.2","30","20","0.774"
"dauntless-haze-366","0.2","30","10","0.773"
"devoted-jazz-365","0.2","30","0","0.771"
"earnest-snow-364","0.2","20","60","0.777"
"fresh-star-363","0.2","20","50","0.776"
"stellar-music-362","0.2","20","40","0.774"
"cerulean-firefly-361","0.2","20","30","0.773"
"curious-plasma-360","0.2","20","20","0.772"
"helpful-dragon-359","0.2","20","10","0.77"
"rich-firebrand-358","0.2","20","0","0.77"
"helpful-salad-357","0.2","10","60","0.775"
"solar-universe-356","0.2","10","50","0.776"
"dandy-bush-355","0.2","10","40","0.772"
"wandering-wave-354","0.2","10","30","0.774"
"fanciful-field-353","0.2","10","20","0.771"
"elated-sunset-352","0.2","10","10","0.77"
"fanciful-snowball-351","0.2","10","0","0.77"
"pleasant-darkness-350","0.2","0","60","0.772"
"quiet-spaceship-349","0.2","0","50","0.772"
"hopeful-deluge-348","0.2","0","40","0.772"
"gallant-planet-347","0.2","0","30","0.771"
"twilight-field-346","0.2","0","20","0.77"
"earnest-lion-345","0.2","0","10","0.767"
"dauntless-bee-344","0.2","0","0","0.767"
"denim-butterfly-343","0.1","60","60","0.789"
"winter-donkey-342","0.1","60","50","0.789"
"glamorous-sun-341","0.1","60","40","0.79"
"rural-terrain-340","0.1","60","30","0.79"
"wild-grass-339","0.1","60","20","0.79"
"exalted-snowball-338","0.1","60","10","0.786"
"glad-blaze-337","0.1","60","0","0.787"
"eternal-sunset-336","0.1","50","60","0.786"
"misty-salad-335","0.1","50","50","0.788"
"serene-sound-334","0.1","50","40","0.786"
"rural-dust-333","0.1","50","30","0.787"
"ruby-surf-332","0.1","50","20","0.785"
"worldly-shadow-331","0.1","50","10","0.786"
"sunny-darkness-330","0.1","50","0","0.784"
"wild-bird-329","0.1","40","60","0.786"
"drawn-plant-328","0.1","40","50","0.788"
