"Name","Runtime","Notes","State","Tags","lambda_tv","lambda_L2","lambda_L1","num_samples","decay_rate","decay_steps","learning_rate","num_iter","num_aug","aug_iou_multiple","aug_iou_single","standard_iou_multiple","standard_iou_single","max_iou","mean_iou"
"morning-sweep-41","1255","-","finished","","0.445","0.4","0","500","0.3","60","0.001","300","100","0.8778123857168542","0.8382658472856558","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"earthy-sweep-25","1270","-","finished","","0.45","0.5","0.05","500","0.3","60","0.001","300","100","0.8777564483414261","0.8382575845340466","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"vital-sweep-56","1235","-","finished","","0.355","0.39","0","500","0.3","60","0.001","300","100","0.8778007901637088","0.838250933550472","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"dainty-sweep-18","1260","-","finished","","0.22","0.68","0","500","0.3","60","0.001","300","100","0.8778018967561056","0.8382493106961031","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"smooth-sweep-13","1260","-","finished","","0.15000000000000002","0.9","0.1","500","0.3","60","0.001","300","100","0.8779750858860753","0.8382465098337052","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"skilled-sweep-31","1261","-","finished","","0.5750000000000001","0.38","0","500","0.3","60","0.001","300","100","0.8777370080550526","0.8382387711526341","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"fresh-sweep-8","1248","-","finished","","0.17500000000000002","0.99","0","500","0.3","60","0.001","300","100","0.8775634087970754","0.8382310342960853","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"glad-sweep-64","1245","-","finished","","0.625","0.45","0","500","0.3","60","0.001","300","100","0.8775479374840544","0.8382263660840087","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"spring-sweep-9","1249","-","finished","","0.01","0.995","0","500","0.3","60","0.001","300","100","0.8778139515461122","0.8382236174238017","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"fragrant-sweep-33","1257","-","finished","","0.05","1.25","0","500","0.3","60","0.001","300","100","0.8774859551786788","0.8381996683099617","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"dutiful-sweep-15","1255","-","finished","","0.71","0.34500000000000003","0","500","0.3","60","0.001","300","100","0.8775875334775943","0.8381995134868783","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"northern-sweep-10","1249","-","finished","","0.105","0.86","0","500","0.3","60","0.001","300","100","0.8778030442553992","0.8381967700915445","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"deep-sweep-17","1331","-","finished","","0.05","1","0.05","500","0.3","60","0.001","300","100","0.8778661189511151","0.8381965042959568","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"azure-sweep-30","1261","-","finished","","0","1.4","0","500","0.3","60","0.001","300","100","0.8774116227227378","0.8381881068361643","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"zany-sweep-48","1236","-","finished","","0.405","0.78","0","500","0.3","60","0.001","300","100","0.8773835037540809","0.8381779917315062","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"lunar-sweep-46","1235","-","finished","","0.465","0.265","0","500","0.3","60","0.001","300","100","0.8777395661690734","0.838161961281689","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"splendid-sweep-37","1268","-","finished","","0.45","0.65","0.05","500","0.3","60","0.001","300","100","0.8774410345173883","0.8381590657632733","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"eternal-sweep-2","1249","-","finished","","0.615","0.5750000000000001","0","500","0.3","60","0.001","300","100","0.8773822313459246","0.8381483618394655","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"zesty-sweep-50","1240","-","finished","","0.8250000000000001","0.315","0","500","0.3","60","0.001","300","100","0.8775175475754176","0.8381380906807683","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"cosmic-sweep-3","1246","-","finished","","0.63","0.58","0","500","0.3","60","0.001","300","100","0.8773663100929432","0.8381346021308068","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"hearty-sweep-16","1322","-","finished","","0.2","0.95","0.05","500","0.3","60","0.001","300","100","0.8774688484645433","0.8381262223700924","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"twilight-sweep-23","1260","-","finished","","0.8","0.15000000000000002","0","500","0.3","60","0.001","300","100","0.8777004789433007","0.838124295929277","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"honest-sweep-40","1256","-","finished","","0.645","0.225","0","500","0.3","60","0.001","300","100","0.8777766545959224","0.8381224230637624","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"noble-sweep-4","1249","-","finished","","0.555","0.67","0","500","0.3","60","0.001","300","100","0.8773220532698549","0.8381190065650966","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"vibrant-sweep-47","1261","-","finished","","0.8","0.30000000000000004","0","500","0.3","60","0.001","300","100","0.877511740107234","0.8381137421687335","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"sweet-sweep-11","1250","-","finished","","0.335","0.905","0","500","0.3","60","0.001","300","100","0.8773015196527649","0.838111453521462","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"swept-sweep-26","1275","-","finished","","0.55","0.30000000000000004","0.05","500","0.3","60","0.001","300","100","0.8777830863817796","0.8380997313245258","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"still-sweep-5","1249","-","finished","","0.79","0.11","0","500","0.3","60","0.001","300","100","0.8777555491710854","0.8380996423424645","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"zesty-sweep-11","1257","-","finished","","0.15000000000000002","1.05","0.05","500","0.3","60","0.001","300","100","0.877437814755274","0.8380892281012465","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"still-sweep-37","1260","-","finished","","0.78","0.49","0","500","0.3","60","0.001","300","100","0.8773422920290705","0.8380638696440983","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"fine-sweep-1","1247","-","finished","","0.88","0.17","0","500","0.3","60","0.001","300","100","0.8775703887689627","0.8380503692090436","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"effortless-sweep-18","1330","-","finished","","0.1","0.8500000000000001","0.1","500","0.3","60","0.001","300","100","0.8777443250865024","0.8380257085322658","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"young-sweep-21","1250","-","finished","","0.75","0.55","0","500","0.3","60","0.001","300","100","0.8772888526165078","0.8380239568544179","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"olive-sweep-15","1258","-","finished","","0.4","0.8500000000000001","0.05","500","0.3","60","0.001","300","100","0.8771823503563815","0.8379857295744614","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"smooth-sweep-44","1236","-","finished","","0.995","0.32","0","500","0.3","60","0.001","300","100","0.8773571288726337","0.8379823106873978","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"rosy-sweep-49","1261","-","finished","","0","1.7000000000000002","0","500","0.3","60","0.001","300","100","0.87697013159454","0.8379509358251547","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"dark-sweep-13","1263","-","finished","","0.995","0.495","0","500","0.3","60","0.001","300","100","0.8772054565496636","0.83792114568966","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"giddy-sweep-63","1324","-","finished","","0.65","0.05","0","500","0.3","60","0.001","300","100","0.8775421341379458","0.8378843396402741","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"balmy-sweep-64","1334","-","finished","","0.35000000000000003","0.5","0.4","500","0.3","60","0.001","300","100","0.8774076313964092","0.8378315794573437","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"crimson-sweep-14","1263","-","finished","","0.99","0.005","0","500","0.3","60","0.001","300","100","0.8774783264053256","0.8378211258412771","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"youthful-sweep-12","1259","-","finished","","0.15000000000000002","0.6000000000000001","0.05","500","0.3","60","0.001","300","100","0.877536930523363","0.83781911483925","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"smart-sweep-49","1236","-","finished","","0.765","0.75","0","500","0.3","60","0.001","300","100","0.8769781605355269","0.8378190910635751","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"youthful-sweep-36","1258","-","finished","","1","0.73","0","500","0.3","60","0.001","300","100","0.8769504193615674","0.8377622909398449","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
