"Angle","Shift_X","Shift_Y","mIoU"
"0.78","20","20","0.646"
"0.78","20","40","0.645"
"0.78","20","60","0.653"
"0.78","20","80","0.656"
"0.78","40","-80","0.647"
"0.78","40","-60","0.641"
"0.78","40","-40","0.639"
"0.78","40","-20","0.635"
"0.78","40","0","0.64"
"0.78","40","20","0.64"
"0.78","40","40","0.644"
"0.78","40","60","0.646"
"0.78","40","80","0.653"
"0.78","60","-80","0.648"
"0.78","60","-60","0.644"
"0.78","60","-40","0.639"
"0.78","60","-20","0.641"
"0.78","60","0","0.644"
"0.78","60","20","0.646"
"0.78","60","40","0.646"
"0.78","60","60","0.655"
"0.78","60","80","0.661"
"0.78","80","-80","0.654"
"0.78","80","-60","0.647"
"0.78","80","-40","0.645"
"0.78","80","-20","0.642"
"0.78","80","0","0.646"
"0.78","80","20","0.648"
"0.78","80","40","0.652"
"0.78","80","60","0.657"
"0.78","80","80","0.663"
"1.18","-80","-80","0.592"
"1.18","-80","-60","0.587"
"1.18","-80","-40","0.587"
"1.18","-80","-20","0.592"
"1.18","-80","0","0.589"
"1.18","-80","20","0.59"
"1.18","-80","40","0.591"
"1.18","-80","60","0.601"
"1.18","-80","80","0.603"
"1.18","-60","-80","0.59"
"1.18","-60","-60","0.586"
"1.18","-60","-40","0.584"
"1.18","-60","-20","0.584"
"1.18","-60","0","0.584"
"1.18","-60","20","0.586"
"1.18","-60","40","0.587"
"1.18","-60","60","0.594"
"1.18","-60","80","0.599"
"1.18","-40","-80","0.588"
"1.18","-40","-60","0.584"
"1.18","-40","-40","0.585"
"1.18","-40","-20","0.584"
"1.18","-40","0","0.582"
"1.18","-40","20","0.586"
"1.18","-40","40","0.59"
"1.18","-40","60","0.593"
"1.18","-40","80","0.597"
"1.18","-20","-80","0.586"
"1.18","-20","-60","0.579"
"1.18","-20","-40","0.583"
"1.18","-20","-20","0.584"
"1.18","-20","0","0.579"
"1.18","-20","20","0.581"
"1.18","-20","40","0.586"
"1.18","-20","60","0.594"
"1.18","-20","80","0.596"
"1.18","0","-80","0.585"
"1.18","0","-60","0.579"
"1.18","0","-40","0.578"
"1.18","0","-20","0.581"
"1.18","0","0","0.579"
"1.18","0","20","0.579"
"1.18","0","40","0.582"
"1.18","0","60","0.592"
"1.18","0","80","0.596"
"1.18","20","-80","0.583"
"1.18","20","-60","0.581"
"1.18","20","-40","0.578"
"1.18","20","-20","0.578"
"1.18","20","0","0.576"
"1.18","20","20","0.58"
"1.18","20","40","0.582"
"1.18","20","60","0.59"
"1.18","20","80","0.596"
"1.18","40","-80","0.584"
"1.18","40","-60","0.581"
"1.18","40","-40","0.58"
"1.18","40","-20","0.581"
"1.18","40","0","0.578"
"1.18","40","20","0.581"
"1.18","40","40","0.587"
"1.18","40","60","0.593"
"1.18","40","80","0.597"
"1.18","60","-80","0.589"
"1.18","60","-60","0.585"
"1.18","60","-40","0.585"
"1.18","60","-20","0.589"
"1.18","60","0","0.582"
"1.18","60","20","0.584"
"1.18","60","40","0.591"
"1.18","60","60","0.602"
"1.18","60","80","0.605"
"1.18","80","-80","0.595"
"1.18","80","-60","0.59"
"1.18","80","-40","0.591"
"1.18","80","-20","0.593"
"1.18","80","0","0.59"
"1.18","80","20","0.59"
"1.18","80","40","0.595"
"1.18","80","60","0.604"
"1.18","80","80","0.608"
