"Name","Runtime","Notes","Tags","copy_dropout","decay_rate","decay_steps","lambda_L1","lambda_L2","lambda_tv","learning_rate","num_iter","num_samples","optimizer","use_BTV","avg_standard_iou","avg_aug_SR_iou"
"sleek-sweep-51","1264","-","","0.1","0.30000000000000004","60","0.4347035958087939","0.9335215550092772","0.8201715171454033","0.001","300","500","adam","false","0.8724168970462777","0.8777067981141007"
"classic-sweep-122","1250","-","","0","0.30000000000000004","60","0.03324855750092415","0.954812327347227","0.9461698822490324","0.001","300","500","adam","false","0.8724168970462777","0.8776942669364914"
"toasty-sweep-49","1598","-","","0.1","0.15000000000000002","80","0.154761807452095","0.9739723235331028","0.7148834877822272","0.001","400","500","adam","false","0.8724168970462777","0.8773552449274645"
"divine-sweep-40","1759","-","","0.2","0.15000000000000002","80","0.07150692307609885","0.9259301615218728","0.2255912107473399","0.001","500","500","adam","false","0.8724168970462777","0.8772123553980444"
"balmy-sweep-45","1469","-","","0.2","0.35000000000000003","60","0.6759814603122816","0.5429394483491156","0.7718107526007051","0.001","400","500","adam","false","0.8724168970462777","0.8771327724782781"
"sandy-sweep-125","1252","-","","0","0.2","100","0.30646653188727513","0.9285170943860894","0.7633233576225227","0.001","300","500","adam","false","0.8724168970462777","0.8771205964839585"
"dulcet-sweep-97","2293","-","","0","0.9","80","0.6056523701507275","0.8615392475803691","0.8732926321223441","0.001","600","500","adam","false","0.8724168970462777","0.8771095377703017"
"glad-sweep-12","1112","-","","0.2","0.25","80","0.903516190701774","0.8872952616803954","0.4158324271019722","0.001","300","500","adam","false","0.8724168970462777","0.8771017283865127"
"dashing-sweep-55","1671","-","","0","0.5","80","0.07022649657571345","0.9241180364537116","0.8042914853550149","0.01","400","500","adam","false","0.8724168970462777","0.8770981931895867"
"fresh-sweep-88","4779","-","","0.1","0.95","60","0.9344415127313512","0.6956285470287956","0.8098696460551591","0.001","600","500","adam","true","0.8724168970462777","0.8770438883393413"
"worthy-sweep-136","1639","-","","0","0.45","80","0.02501783818818004","0.96685770913197","0.6688563491879449","0.1","400","500","adagrad","false","0.8724168970462777","0.8770344381030319"
"devout-sweep-68","1851","-","","0.2","0.4","40","0.9307498863592912","0.45522316619864533","0.7321435797529994","0.001","500","500","adam","false","0.8724168970462777","0.8769890451642705"
"faithful-sweep-6","2158","-","","0.1","0.4","60","0.024899262972502556","0.931062595208403","0.13099327161133123","0.001","600","500","adam","false","0.8724168970462777","0.8769731807242874"
"dauntless-sweep-56","1661","-","","0","0.7000000000000001","60","0.1605896032520645","0.9141908903882446","0.9827225007395224","0.001","400","500","adam","false","0.8724168970462777","0.8769569805749845"
"confused-sweep-81","1877","-","","0.1","0.8500000000000001","80","0.471556317843841","0.4179216557542448","0.9780928887385132","0.001","500","500","adam","false","0.8724168970462777","0.8769263074685893"
"exalted-sweep-93","2153","-","","0.1","0.25","60","0.907811629636296","0.4091454950477475","0.8122546023113362","0.001","600","500","adam","false","0.8724168970462777","0.8769212612372596"
"vague-sweep-123","4103","-","","0","0.15000000000000002","80","0.5560367680992325","0.7165644775018131","0.9991984792737812","0.1","500","500","adam","true","0.8724168970462777","0.8769174675405905"
"feasible-sweep-46","1611","-","","0.1","0.8500000000000001","80","0.007906915831450534","0.8990828603624061","0.6819618736634749","0.001","400","500","adam","false","0.8724168970462777","0.8769083834208519"
"cool-sweep-128","4882","-","","0","0.65","40","0.6864722080745946","0.488519705071688","0.8484419883626934","0.01","600","500","adam","true","0.8724168970462777","0.8768810684460784"
"mild-sweep-36","1421","-","","0.2","0.4","60","0.5347041193232139","0.5881677808278977","0.4807931349253304","0.001","400","500","adam","false","0.8724168970462777","0.8768767598134511"
"unique-sweep-106","1865","-","","0.1","0.8","60","0.41692899549951445","0.4311486966956075","0.9491863898546298","0.001","500","500","adam","false","0.8724168970462777","0.8768565733186585"
"iconic-sweep-116","1852","-","","0.1","0.35000000000000003","80","0.16030627511874596","0.6837524517243558","0.9968084149204876","0.1","500","500","adam","false","0.8724168970462777","0.8768355483167284"
"azure-sweep-63","1709","-","","0.2","0.75","80","0.26338864022830155","0.6070599164105315","0.9315881989485568","0.001","500","500","adam","false","0.8724168970462777","0.8768311810431777"
"lemon-sweep-60","2157","-","","0.1","0.45","80","0.14985205563608484","0.84191432514324","0.8533175810822743","0.01","600","500","adam","false","0.8724168970462777","0.8767971067927889"
"crimson-sweep-86","2293","-","","0","0.05","80","0.06491715813156296","0.9820408267499874","0.5631771064737876","0.1","600","500","adam","false","0.8724168970462777","0.8767955937523799"
"treasured-sweep-107","4188","-","","0","0.75","60","0.6395550564924513","0.41040869378847333","0.3651116676764241","0.01","500","500","adam","true","0.8724168970462777","0.8767917689958007"
"bright-sweep-37","1589","-","","0.1","0.75","60","0.4130595634594838","0.5298770743494448","0.8528602630968256","0.001","400","500","adam","false","0.8724168970462777","0.8767869854602218"
"clear-sweep-117","5159","-","","0.1","0.75","60","0.4632065314507109","0.8966923316891062","0.9266965889896788","0.01","600","500","adam","true","0.8724168970462777","0.8767845911879031"
"winter-sweep-112","4838","-","","0","0.95","60","0.9115153752515672","0.6643644537590734","0.691827229274349","0.01","600","500","adam","true","0.8724168970462777","0.8767843759820996"
"vital-sweep-98","1518","-","","0.1","0.8","80","0.49488673506222336","0.9782227349416848","0.9683610517087092","0.001","400","500","adam","false","0.8724168970462777","0.876783489697571"
"hopeful-sweep-129","1838","-","","0.1","0.65","80","0.5559118624021699","0.35690710107807955","0.8906226297321228","0.001","500","500","adam","false","0.8724168970462777","0.8767772777089928"
"copper-sweep-64","1223","-","","0.1","0.7000000000000001","100","0.5252014942292768","0.8290400652691484","0.971233198221678","0.001","300","500","adam","false","0.8724168970462777","0.8767749049672489"
"celestial-sweep-114","2155","-","","0.1","0.4","60","0.2885037593159855","0.5580341498046844","0.8617903234092049","0.1","600","500","adam","false","0.8724168970462777","0.8767710687510798"
"fresh-sweep-126","1252","-","","0","0.25","60","0.25971396635167965","0.9910363993319202","0.7541209461274543","0.1","300","500","adam","false","0.8724168970462777","0.8767601695352255"
"serene-sweep-54","1319","-","","0","0.1","80","0.3793699474324505","0.9294142702778448","0.8683834196576092","0.1","300","500","adam","false","0.8724168970462777","0.8767486790387001"
"splendid-sweep-135","4663","-","","0.1","0.4","60","0.774261267266474","0.7423786736898228","0.9273281867333876","0.01","500","500","adam","true","0.8724168970462777","0.8767275920198428"
"volcanic-sweep-133","1792","-","","0.2","0.75","60","0.048469598596032726","0.6756034846833655","0.7583392574458386","0.001","500","500","adam","false","0.8724168970462777","0.876721965807589"
"silver-sweep-61","1523","-","","0.1","0.75","100","0.7180833019119773","0.8138706866636355","0.8175413394344846","0.001","400","500","adam","false","0.8724168970462777","0.876717223985278"
"rural-sweep-118","2179","-","","0.1","0.8","60","0.36524611909825866","0.6900363831608831","0.881700699249473","0.1","600","500","adam","false","0.8724168970462777","0.8767154151286305"
"astral-sweep-138","4666","-","","0.1","0.6000000000000001","40","0.8513366854131585","0.6248046135364167","0.9488471110962062","0.01","500","500","adam","true","0.8724168970462777","0.8767097901747088"
"feasible-sweep-83","2154","-","","0.1","0.75","60","0.27539580977566935","0.9176521632604854","0.8833459613815913","0.1","600","500","adam","false","0.8724168970462777","0.8767083654082394"
"exalted-sweep-33","1514","-","","0.1","0.45","60","0.37455439768982746","0.9307741945491578","0.7718009180259949","0.1","400","500","adagrad","false","0.8724168970462777","0.8766976483031018"
"glorious-sweep-25","3339","-","","0","0.7000000000000001","60","0.8272211888981279","0.4801092586318152","0.3323946859231769","0.01","400","500","adam","true","0.8724168970462777","0.8766953542847484"
"peachy-sweep-20","1397","-","","0.2","0.6000000000000001","60","0.25808537424959166","0.6047974124815506","0.930741140811884","0.01","400","500","adam","false","0.8724168970462777","0.8766928339532126"
"fanciful-sweep-102","1519","-","","0.1","0.55","60","0.5562498497310443","0.5178068884891724","0.9705586813747172","0.01","400","500","adam","false","0.8724168970462777","0.8766912162181998"
"leafy-sweep-31","1200","-","","0.1","0.35000000000000003","80","0.41095588362635327","0.6958465350444011","0.7854789809541841","0.001","300","500","adam","false","0.8724168970462777","0.8766754976781665"
"fallen-sweep-30","1517","-","","0.1","0.35000000000000003","80","0.445332371667069","0.679961722693225","0.4859143717055894","0.001","400","500","adam","false","0.8724168970462777","0.8766712022929816"
"resilient-sweep-2","1392","-","","0.2","0.8","60","0.02040180309929729","0.7908176453971075","0.6982663371828206","0.1","400","500","adagrad","false","0.8724168970462777","0.8766688726967209"
"glamorous-sweep-119","4318","-","","0.1","0.8500000000000001","80","0.5950056618684929","0.4850552167593817","0.8339041583199266","0.01","500","500","adam","true","0.8724168970462777","0.8766632999753761"
"silvery-sweep-48","1925","-","","0.1","0.35000000000000003","80","0.2265273574865931","0.7224878812732256","0.717505337326306","0.001","500","500","adam","false","0.8724168970462777","0.8766461071700271"
"solar-sweep-111","1684","-","","0.2","0.75","60","0.6900328118344394","0.9631287063393318","0.8653643503613527","0.001","500","500","adam","false","0.8724168970462777","0.8766438154675112"
"golden-sweep-44","1155","-","","0.2","0.55","60","0.02103146642527398","0.8819980472362821","0.4890828691214676","0.1","300","500","adagrad","false","0.8724168970462777","0.8766298703590706"
"woven-sweep-77","1778","-","","0.2","0.8500000000000001","80","0.4552932649541852","0.4965353428553384","0.9728203380178126","0.01","500","500","adam","false","0.8724168970462777","0.8766266966739772"
"bright-sweep-110","1202","-","","0.1","0.55","80","0.6473798626386689","0.9581298194793276","0.7822041743241169","0.001","300","500","adam","false","0.8724168970462777","0.876611926957851"
"scarlet-sweep-10","2455","-","","0.2","0.1","60","0.4112110021202915","0.6280102382774815","0.8618476684184827","0.1","300","500","adam","true","0.8724168970462777","0.8766112018600458"
"misty-sweep-82","1202","-","","0.1","0.55","80","0.47944613944318903","0.844945543605887","0.6247644464715335","0.001","300","500","adam","false","0.8724168970462777","0.8766075402758092"
"clear-sweep-131","3432","-","","0.1","0.05","80","0.7563579198958857","0.5583669913620741","0.7921927915348801","0.01","300","500","adam","true","0.8724168970462777","0.8765987998095494"
"polar-sweep-96","1838","-","","0.1","0.65","60","0.5002138176167882","0.5945358106042158","0.7990634690048231","0.1","500","500","adam","false","0.8724168970462777","0.8765985780409897"
"colorful-sweep-108","2160","-","","0.1","0.4","80","0.7646316785867231","0.7577843634346578","0.798731808763998","0.001","600","500","adam","false","0.8724168970462777","0.876597851016728"
"celestial-sweep-52","1600","-","","0.1","0.5","60","0.22606044246246415","0.9850209774381106","0.5908977964512075","0.001","400","500","adam","false","0.8724168970462777","0.8765964573298701"
"silver-sweep-66","2074","-","","0.2","0.35000000000000003","80","0.30615893816016315","0.90742929956731","0.975251015824228","0.001","600","500","adam","false","0.8724168970462777","0.8765925334944523"
"polished-sweep-70","2247","-","","0.1","0.75","80","0.4390842358260313","0.6410650315174994","0.794743991446374","0.01","600","500","adam","false","0.8724168970462777","0.8765922585661806"
