"Angle","Shift_X","Shift_Y","mIoU"
"-0.6","0","-80","0.673"
"-0.6","0","-60","0.672"
"-0.6","0","-40","0.67"
"-0.6","0","-20","0.673"
"-0.6","0","0","0.669"
"-0.6","0","20","0.674"
"-0.6","0","40","0.673"
"-0.6","0","60","0.678"
"-0.6","0","80","0.678"
"-0.6","20","-80","0.677"
"-0.6","20","-60","0.676"
"-0.6","20","-40","0.674"
"-0.6","20","-20","0.677"
"-0.6","20","0","0.674"
"-0.6","20","20","0.678"
"-0.6","20","40","0.677"
"-0.6","20","60","0.68"
"-0.6","20","80","0.683"
"-0.6","40","-80","0.676"
"-0.6","40","-60","0.672"
"-0.6","40","-40","0.673"
"-0.6","40","-20","0.674"
"-0.6","40","0","0.674"
"-0.6","40","20","0.676"
"-0.6","40","40","0.675"
"-0.6","40","60","0.68"
"-0.6","40","80","0.683"
"-0.6","60","-80","0.678"
"-0.6","60","-60","0.675"
"-0.6","60","-40","0.674"
"-0.6","60","-20","0.678"
"-0.6","60","0","0.677"
"-0.6","60","20","0.677"
"-0.6","60","40","0.676"
"-0.6","60","60","0.68"
"-0.6","60","80","0.684"
"-0.6","80","-80","0.68"
"-0.6","80","-60","0.68"
"-0.6","80","-40","0.677"
"-0.6","80","-20","0.682"
"-0.6","80","0","0.678"
"-0.6","80","20","0.681"
"-0.6","80","40","0.678"
"-0.6","80","60","0.685"
"-0.6","80","80","0.683"
"-0.55","-80","-80","0.696"
"-0.55","-80","-60","0.696"
"-0.55","-80","-40","0.695"
"-0.55","-80","-20","0.697"
"-0.55","-80","0","0.693"
"-0.55","-80","20","0.696"
"-0.55","-80","40","0.699"
"-0.55","-80","60","0.699"
"-0.55","-80","80","0.698"
"-0.55","-60","-80","0.692"
"-0.55","-60","-60","0.692"
"-0.55","-60","-40","0.69"
"-0.55","-60","-20","0.69"
"-0.55","-60","0","0.689"
"-0.55","-60","20","0.694"
"-0.55","-60","40","0.694"
"-0.55","-60","60","0.695"
"-0.55","-60","80","0.695"
"-0.55","-40","-80","0.69"
"-0.55","-40","-60","0.691"
"-0.55","-40","-40","0.691"
"-0.55","-40","-20","0.689"
"-0.55","-40","0","0.688"
"-0.55","-40","20","0.693"
"-0.55","-40","40","0.694"
"-0.55","-40","60","0.693"
"-0.55","-40","80","0.693"
"-0.55","-20","-80","0.686"
"-0.55","-20","-60","0.686"
"-0.55","-20","-40","0.688"
"-0.55","-20","-20","0.687"
"-0.55","-20","0","0.684"
"-0.55","-20","20","0.688"
"-0.55","-20","40","0.691"
"-0.55","-20","60","0.692"
"-0.55","-20","80","0.69"
"-0.55","0","-80","0.68"
"-0.55","0","-60","0.681"
"-0.55","0","-40","0.683"
"-0.55","0","-20","0.683"
"-0.55","0","0","0.679"
"-0.55","0","20","0.684"
"-0.55","0","40","0.688"
"-0.55","0","60","0.689"
"-0.55","0","80","0.689"
"-0.55","20","-80","0.684"
"-0.55","20","-60","0.685"
"-0.55","20","-40","0.684"
"-0.55","20","-20","0.683"
"-0.55","20","0","0.682"
"-0.55","20","20","0.686"
"-0.55","20","40","0.687"
"-0.55","20","60","0.689"
"-0.55","20","80","0.689"
"-0.55","40","-80","0.687"
"-0.55","40","-60","0.688"
"-0.55","40","-40","0.687"
"-0.55","40","-20","0.686"
"-0.55","40","0","0.685"
"-0.55","40","20","0.689"
"-0.55","40","40","0.691"
"-0.55","40","60","0.691"
"-0.55","40","80","0.692"
"-0.55","60","-80","0.687"
"-0.55","60","-60","0.685"
"-0.55","60","-40","0.688"
"-0.55","60","-20","0.688"
"-0.55","60","0","0.686"
"-0.55","60","20","0.688"
"-0.55","60","40","0.69"
"-0.55","60","60","0.691"
"-0.55","60","80","0.691"
"-0.55","80","-80","0.685"
"-0.55","80","-60","0.688"
"-0.55","80","-40","0.688"
"-0.55","80","-20","0.688"
"-0.55","80","0","0.684"
"-0.55","80","20","0.688"
"-0.55","80","40","0.693"
"-0.55","80","60","0.693"
"-0.55","80","80","0.692"
"-0.5","-80","-80","0.706"
"-0.5","-80","-60","0.709"
"-0.5","-80","-40","0.71"
"-0.5","-80","-20","0.707"
"-0.5","-80","0","0.703"
"-0.5","-80","20","0.709"
"-0.5","-80","40","0.712"
"-0.5","-80","60","0.712"
"-0.5","-80","80","0.709"
"-0.5","-60","-80","0.705"
"-0.5","-60","-60","0.704"
"-0.5","-60","-40","0.705"
"-0.5","-60","-20","0.702"
"-0.5","-60","0","0.699"
"-0.5","-60","20","0.704"
"-0.5","-60","40","0.708"
"-0.5","-60","60","0.706"
"-0.5","-60","80","0.704"
"-0.5","-40","-80","0.697"
"-0.5","-40","-60","0.703"
"-0.5","-40","-40","0.703"
"-0.5","-40","-20","0.704"
"-0.5","-40","0","0.696"
"-0.5","-40","20","0.704"
"-0.5","-40","40","0.707"
"-0.5","-40","60","0.708"
"-0.5","-40","80","0.702"
"-0.5","-20","-80","0.7"
"-0.5","-20","-60","0.699"
"-0.5","-20","-40","0.702"
"-0.5","-20","-20","0.699"
"-0.5","-20","0","0.697"
"-0.5","-20","20","0.7"
"-0.5","-20","40","0.705"
"-0.5","-20","60","0.703"
"-0.5","-20","80","0.701"
"-0.5","0","-80","0.692"
"-0.5","0","-60","0.697"
"-0.5","0","-40","0.698"
"-0.5","0","-20","0.693"
"-0.5","0","0","0.69"
"-0.5","0","20","0.699"
"-0.5","0","40","0.703"
"-0.5","0","60","0.7"
"-0.5","0","80","0.699"
"-0.5","20","-80","0.697"
"-0.5","20","-60","0.698"
"-0.5","20","-40","0.7"
"-0.5","20","-20","0.696"
"-0.5","20","0","0.693"
"-0.5","20","20","0.698"
"-0.5","20","40","0.704"
"-0.5","20","60","0.702"
"-0.5","20","80","0.7"
"-0.5","40","-80","0.696"
"-0.5","40","-60","0.699"
"-0.5","40","-40","0.701"
"-0.5","40","-20","0.7"
"-0.5","40","0","0.692"
"-0.5","40","20","0.7"
"-0.5","40","40","0.705"
"-0.5","40","60","0.706"
"-0.5","40","80","0.701"
"-0.5","60","-80","0.7"
"-0.5","60","-60","0.698"
"-0.5","60","-40","0.702"
"-0.5","60","-20","0.699"
"-0.5","60","0","0.697"
"-0.5","60","20","0.7"
"-0.5","60","40","0.706"
"-0.5","60","60","0.704"
"-0.5","60","80","0.703"
"-0.5","80","-80","0.696"
"-0.5","80","-60","0.703"
"-0.5","80","-40","0.703"
"-0.5","80","-20","0.697"
"-0.5","80","0","0.694"
"-0.5","80","20","0.703"
"-0.5","80","40","0.707"
"-0.5","80","60","0.704"
"-0.5","80","80","0.702"
"-0.45","-80","-80","0.721"
"-0.45","-80","-60","0.72"
"-0.45","-80","-40","0.721"
"-0.45","-80","-20","0.719"
"-0.45","-80","0","0.717"
"-0.45","-80","20","0.72"
"-0.45","-80","40","0.724"
"-0.45","-80","60","0.725"
"-0.45","-80","80","0.724"
"-0.45","-60","-80","0.719"
"-0.45","-60","-60","0.716"
"-0.45","-60","-40","0.715"
"-0.45","-60","-20","0.715"
"-0.45","-60","0","0.713"
"-0.45","-60","20","0.715"
"-0.45","-60","40","0.716"
"-0.45","-60","60","0.719"
"-0.45","-60","80","0.72"
"-0.45","-40","-80","0.715"
"-0.45","-40","-60","0.714"
"-0.45","-40","-40","0.713"
"-0.45","-40","-20","0.711"
"-0.45","-40","0","0.71"
"-0.45","-40","20","0.714"
"-0.45","-40","40","0.715"
"-0.45","-40","60","0.715"
"-0.45","-40","80","0.718"
"-0.45","-20","-80","0.712"
"-0.45","-20","-60","0.712"
"-0.45","-20","-40","0.71"
"-0.45","-20","-20","0.71"
"-0.45","-20","0","0.71"
"-0.45","-20","20","0.712"
"-0.45","-20","40","0.714"
"-0.45","-20","60","0.715"
"-0.45","-20","80","0.718"
"-0.45","0","-80","0.71"
"-0.45","0","-60","0.708"
"-0.45","0","-40","0.71"
"-0.45","0","-20","0.706"
"-0.45","0","0","0.705"
"-0.45","0","20","0.71"
"-0.45","0","40","0.714"
"-0.45","0","60","0.713"
"-0.45","0","80","0.716"
"-0.45","20","-80","0.713"
"-0.45","20","-60","0.71"
"-0.45","20","-40","0.708"
"-0.45","20","-20","0.707"
"-0.45","20","0","0.706"
"-0.45","20","20","0.71"
"-0.45","20","40","0.711"
"-0.45","20","60","0.714"
"-0.45","20","80","0.716"
"-0.45","40","-80","0.71"
"-0.45","40","-60","0.71"
"-0.45","40","-40","0.71"
"-0.45","40","-20","0.707"
"-0.45","40","0","0.706"
"-0.45","40","20","0.711"
"-0.45","40","40","0.713"
"-0.45","40","60","0.713"
"-0.45","40","80","0.715"
"-0.45","60","-80","0.71"
"-0.45","60","-60","0.711"
"-0.45","60","-40","0.71"
"-0.45","60","-20","0.71"
"-0.45","60","0","0.709"
"-0.45","60","20","0.713"
"-0.45","60","40","0.714"
"-0.45","60","60","0.716"
"-0.45","60","80","0.718"
"-0.45","80","-80","0.715"
"-0.45","80","-60","0.716"
"-0.45","80","-40","0.717"
"-0.45","80","-20","0.714"
"-0.45","80","0","0.712"
"-0.45","80","20","0.718"
"-0.45","80","40","0.722"
"-0.45","80","60","0.72"
"-0.45","80","80","0.719"
"-0.4","-80","-80","0.734"
"-0.4","-80","-60","0.732"
"-0.4","-80","-40","0.733"
"-0.4","-80","-20","0.73"
"-0.4","-80","0","0.73"
"-0.4","-80","20","0.731"
"-0.4","-80","40","0.733"
"-0.4","-80","60","0.736"
"-0.4","-80","80","0.737"
"-0.4","-60","-80","0.728"
"-0.4","-60","-60","0.728"
"-0.4","-60","-40","0.728"
"-0.4","-60","-20","0.726"
"-0.4","-60","0","0.724"
"-0.4","-60","20","0.727"
"-0.4","-60","40","0.728"
"-0.4","-60","60","0.731"
"-0.4","-60","80","0.733"
"-0.4","-40","-80","0.728"
"-0.4","-40","-60","0.725"
"-0.4","-40","-40","0.726"
"-0.4","-40","-20","0.726"
"-0.4","-40","0","0.723"
"-0.4","-40","20","0.724"
"-0.4","-40","40","0.726"
"-0.4","-40","60","0.728"
"-0.4","-40","80","0.73"
"-0.4","-20","-80","0.726"
"-0.4","-20","-60","0.724"
"-0.4","-20","-40","0.723"
"-0.4","-20","-20","0.725"
"-0.4","-20","0","0.722"
"-0.4","-20","20","0.724"
"-0.4","-20","40","0.725"
"-0.4","-20","60","0.728"
"-0.4","-20","80","0.729"
"-0.4","0","-80","0.724"
"-0.4","0","-60","0.721"
"-0.4","0","-40","0.723"
"-0.4","0","-20","0.719"
"-0.4","0","0","0.719"
"-0.4","0","20","0.721"
"-0.4","0","40","0.725"
"-0.4","0","60","0.724"
"-0.4","0","80","0.729"
"-0.4","20","-80","0.724"
"-0.4","20","-60","0.722"
"-0.4","20","-40","0.724"
"-0.4","20","-20","0.721"
"-0.4","20","0","0.718"
"-0.4","20","20","0.722"
"-0.4","20","40","0.726"
"-0.4","20","60","0.728"
"-0.4","20","80","0.73"
"-0.4","40","-80","0.721"
"-0.4","40","-60","0.721"
"-0.4","40","-40","0.723"
"-0.4","40","-20","0.721"
"-0.4","40","0","0.717"
"-0.4","40","20","0.721"
"-0.4","40","40","0.725"
"-0.4","40","60","0.727"
"-0.4","40","80","0.728"
"-0.4","60","-80","0.723"
"-0.4","60","-60","0.724"
"-0.4","60","-40","0.723"
"-0.4","60","-20","0.724"
"-0.4","60","0","0.721"
"-0.4","60","20","0.724"
"-0.4","60","40","0.727"
"-0.4","60","60","0.73"
"-0.4","60","80","0.729"
"-0.4","80","-80","0.729"
"-0.4","80","-60","0.729"
"-0.4","80","-40","0.729"
"-0.4","80","-20","0.726"
"-0.4","80","0","0.728"
"-0.4","80","20","0.73"
"-0.4","80","40","0.733"
"-0.4","80","60","0.731"
"-0.4","80","80","0.735"
"-0.35","-80","-80","0.748"
"-0.35","-80","-60","0.743"
"-0.35","-80","-40","0.744"
"-0.35","-80","-20","0.743"
"-0.35","-80","0","0.743"
"-0.35","-80","20","0.744"
"-0.35","-80","40","0.745"
"-0.35","-80","60","0.745"
"-0.35","-80","80","0.75"
"-0.35","-60","-80","0.741"
"-0.35","-60","-60","0.74"
"-0.35","-60","-40","0.741"
"-0.35","-60","-20","0.739"
"-0.35","-60","0","0.738"
"-0.35","-60","20","0.739"
"-0.35","-60","40","0.741"
"-0.35","-60","60","0.742"
"-0.35","-60","80","0.746"
"-0.35","-40","-80","0.738"
"-0.35","-40","-60","0.734"
"-0.35","-40","-40","0.735"
"-0.35","-40","-20","0.736"
"-0.35","-40","0","0.736"
"-0.35","-40","20","0.735"
"-0.35","-40","40","0.737"
"-0.35","-40","60","0.738"
"-0.35","-40","80","0.742"
"-0.35","-20","-80","0.736"
"-0.35","-20","-60","0.733"
"-0.35","-20","-40","0.734"
"-0.35","-20","-20","0.732"
"-0.35","-20","0","0.735"
"-0.35","-20","20","0.735"
"-0.35","-20","40","0.735"
"-0.35","-20","60","0.737"
"-0.35","-20","80","0.742"
"-0.35","0","-80","0.737"
"-0.35","0","-60","0.735"
"-0.35","0","-40","0.735"
"-0.35","0","-20","0.732"
"-0.35","0","0","0.732"
"-0.35","0","20","0.736"
"-0.35","0","40","0.736"
"-0.35","0","60","0.737"
"-0.35","0","80","0.742"
"-0.35","20","-80","0.737"
"-0.35","20","-60","0.737"
"-0.35","20","-40","0.736"
"-0.35","20","-20","0.734"
"-0.35","20","0","0.734"
"-0.35","20","20","0.738"
"-0.35","20","40","0.739"
"-0.35","20","60","0.738"
"-0.35","20","80","0.743"
"-0.35","40","-80","0.734"
"-0.35","40","-60","0.732"
"-0.35","40","-40","0.734"
"-0.35","40","-20","0.734"
"-0.35","40","0","0.733"
"-0.35","40","20","0.733"
"-0.35","40","40","0.736"
"-0.35","40","60","0.738"
"-0.35","40","80","0.741"
"-0.35","60","-80","0.732"
"-0.35","60","-60","0.731"
"-0.35","60","-40","0.732"
"-0.35","60","-20","0.73"
"-0.35","60","0","0.732"
"-0.35","60","20","0.734"
"-0.35","60","40","0.735"
"-0.35","60","60","0.736"
"-0.35","60","80","0.74"
"-0.35","80","-80","0.74"
"-0.35","80","-60","0.74"
"-0.35","80","-40","0.742"
"-0.35","80","-20","0.739"
"-0.35","80","0","0.739"
"-0.35","80","20","0.743"
"-0.35","80","40","0.744"
"-0.35","80","60","0.743"
"-0.35","80","80","0.746"
"-0.3","-80","-80","0.76"
"-0.3","-80","-60","0.756"
"-0.3","-80","-40","0.755"
"-0.3","-80","-20","0.755"
"-0.3","-80","0","0.756"
"-0.3","-80","20","0.755"
"-0.3","-80","40","0.757"
"-0.3","-80","60","0.758"
"-0.3","-80","80","0.76"
"-0.3","-60","-80","0.752"
"-0.3","-60","-60","0.753"
"-0.3","-60","-40","0.752"
"-0.3","-60","-20","0.748"
"-0.3","-60","0","0.749"
"-0.3","-60","20","0.751"
"-0.3","-60","40","0.751"
"-0.3","-60","60","0.749"
"-0.3","-60","80","0.749"
"-0.3","-40","-80","0.753"
"-0.3","-40","-60","0.75"
"-0.3","-40","-40","0.748"
"-0.3","-40","-20","0.747"
"-0.3","-40","0","0.748"
"-0.3","-40","20","0.75"
"-0.3","-40","40","0.75"
"-0.3","-40","60","0.75"
"-0.3","-40","80","0.752"
"-0.3","-20","-80","0.749"
"-0.3","-20","-60","0.746"
"-0.3","-20","-40","0.745"
"-0.3","-20","-20","0.745"
"-0.3","-20","0","0.745"
"-0.3","-20","20","0.746"
"-0.3","-20","40","0.747"
"-0.3","-20","60","0.749"
"-0.3","-20","80","0.749"
"-0.3","0","-80","0.749"
"-0.3","0","-60","0.746"
"-0.3","0","-40","0.744"
"-0.3","0","-20","0.745"
"-0.3","0","0","0.745"
"-0.3","0","20","0.747"
"-0.3","0","40","0.746"
"-0.3","0","60","0.749"
"-0.3","0","80","0.75"
"-0.3","20","-80","0.749"
"-0.3","20","-60","0.747"
"-0.3","20","-40","0.747"
"-0.3","20","-20","0.744"
"-0.3","20","0","0.745"
"-0.3","20","20","0.746"
"-0.3","20","40","0.748"
"-0.3","20","60","0.748"
"-0.3","20","80","0.749"
"-0.3","40","-80","0.746"
"-0.3","40","-60","0.744"
"-0.3","40","-40","0.745"
"-0.3","40","-20","0.744"
"-0.3","40","0","0.741"
"-0.3","40","20","0.747"
"-0.3","40","40","0.748"
"-0.3","40","60","0.747"
"-0.3","40","80","0.749"
"-0.3","60","-80","0.743"
"-0.3","60","-60","0.742"
"-0.3","60","-40","0.743"
"-0.3","60","-20","0.744"
"-0.3","60","0","0.743"
"-0.3","60","20","0.745"
"-0.3","60","40","0.748"
"-0.3","60","60","0.748"
"-0.3","60","80","0.748"
"-0.3","80","-80","0.749"
"-0.3","80","-60","0.748"
"-0.3","80","-40","0.75"
"-0.3","80","-20","0.748"
"-0.3","80","0","0.748"
"-0.3","80","20","0.752"
"-0.3","80","40","0.754"
"-0.3","80","60","0.754"
"-0.3","80","80","0.754"
"-0.25","-80","-80","0.761"
"-0.25","-80","-60","0.762"
"-0.25","-80","-40","0.762"
"-0.25","-80","-20","0.762"
"-0.25","-80","0","0.761"
"-0.25","-80","20","0.763"
"-0.25","-80","40","0.764"
"-0.25","-80","60","0.766"
"-0.25","-80","80","0.766"
"-0.25","-60","-80","0.763"
"-0.25","-60","-60","0.76"
"-0.25","-60","-40","0.762"
"-0.25","-60","-20","0.761"
"-0.25","-60","0","0.761"
"-0.25","-60","20","0.761"
"-0.25","-60","40","0.762"
"-0.25","-60","60","0.764"
"-0.25","-60","80","0.763"
"-0.25","-40","-80","0.762"
"-0.25","-40","-60","0.761"
"-0.25","-40","-40","0.761"
"-0.25","-40","-20","0.758"
"-0.25","-40","0","0.761"
"-0.25","-40","20","0.761"
"-0.25","-40","40","0.763"
"-0.25","-40","60","0.762"
"-0.25","-40","80","0.761"
"-0.25","-20","-80","0.76"
"-0.25","-20","-60","0.761"
"-0.25","-20","-40","0.761"
"-0.25","-20","-20","0.756"
"-0.25","-20","0","0.759"
"-0.25","-20","20","0.762"
"-0.25","-20","40","0.762"
"-0.25","-20","60","0.762"
"-0.25","-20","80","0.763"
"-0.25","0","-80","0.755"
"-0.25","0","-60","0.755"
"-0.25","0","-40","0.756"
"-0.25","0","-20","0.754"
"-0.25","0","0","0.754"
"-0.25","0","20","0.756"
"-0.25","0","40","0.756"
"-0.25","0","60","0.757"
"-0.25","0","80","0.757"
"-0.25","20","-80","0.758"
"-0.25","20","-60","0.756"
"-0.25","20","-40","0.759"
"-0.25","20","-20","0.756"
"-0.25","20","0","0.758"
"-0.25","20","20","0.758"
"-0.25","20","40","0.758"
"-0.25","20","60","0.76"
"-0.25","20","80","0.76"
"-0.25","40","-80","0.756"
"-0.25","40","-60","0.756"
"-0.25","40","-40","0.758"
"-0.25","40","-20","0.754"
"-0.25","40","0","0.758"
"-0.25","40","20","0.757"
"-0.25","40","40","0.76"
"-0.25","40","60","0.759"
"-0.25","40","80","0.761"
"-0.25","60","-80","0.757"
"-0.25","60","-60","0.76"
"-0.25","60","-40","0.76"
"-0.25","60","-20","0.756"
"-0.25","60","0","0.759"
"-0.25","60","20","0.761"
"-0.25","60","40","0.761"
"-0.25","60","60","0.761"
"-0.25","60","80","0.761"
"-0.25","80","-80","0.757"
"-0.25","80","-60","0.759"
"-0.25","80","-40","0.759"
"-0.25","80","-20","0.758"
"-0.25","80","0","0.76"
"-0.25","80","20","0.761"
"-0.25","80","40","0.76"
"-0.25","80","60","0.762"
"-0.25","80","80","0.761"
"-0.2","-80","-80","0.772"
"-0.2","-80","-60","0.771"
"-0.2","-80","-40","0.768"
"-0.2","-80","-20","0.768"
"-0.2","-80","0","0.773"
"-0.2","-80","20","0.773"
"-0.2","-80","40","0.773"
"-0.2","-80","60","0.775"
"-0.2","-80","80","0.777"
"-0.2","-60","-80","0.77"
"-0.2","-60","-60","0.769"
"-0.2","-60","-40","0.769"
"-0.2","-60","-20","0.77"
"-0.2","-60","0","0.771"
"-0.2","-60","20","0.771"
"-0.2","-60","40","0.774"
"-0.2","-60","60","0.776"
"-0.2","-60","80","0.775"
"-0.2","-40","-80","0.769"
"-0.2","-40","-60","0.768"
"-0.2","-40","-40","0.768"
"-0.2","-40","-20","0.769"
"-0.2","-40","0","0.77"
"-0.2","-40","20","0.771"
"-0.2","-40","40","0.773"
"-0.2","-40","60","0.773"
"-0.2","-40","80","0.772"
"-0.2","-20","-80","0.768"
"-0.2","-20","-60","0.767"
"-0.2","-20","-40","0.768"
"-0.2","-20","-20","0.767"
"-0.2","-20","0","0.769"
"-0.2","-20","20","0.769"
"-0.2","-20","40","0.772"
"-0.2","-20","60","0.775"
"-0.2","-20","80","0.772"
"-0.2","0","-80","0.764"
"-0.2","0","-60","0.765"
"-0.2","0","-40","0.763"
"-0.2","0","-20","0.761"
"-0.2","0","0","0.763"
"-0.2","0","20","0.766"
"-0.2","0","40","0.767"
"-0.2","0","60","0.768"
"-0.2","0","80","0.768"
"-0.2","20","-80","0.766"
"-0.2","20","-60","0.766"
"-0.2","20","-40","0.763"
"-0.2","20","-20","0.766"
"-0.2","20","0","0.767"
"-0.2","20","20","0.767"
"-0.2","20","40","0.768"
"-0.2","20","60","0.772"
"-0.2","20","80","0.77"
"-0.2","40","-80","0.764"
"-0.2","40","-60","0.765"
"-0.2","40","-40","0.764"
"-0.2","40","-20","0.766"
"-0.2","40","0","0.767"
"-0.2","40","20","0.767"
"-0.2","40","40","0.768"
"-0.2","40","60","0.771"
"-0.2","40","80","0.769"
"-0.2","60","-80","0.764"
"-0.2","60","-60","0.767"
"-0.2","60","-40","0.768"
"-0.2","60","-20","0.77"
