,Th_Value,IoU
0,0.1,0.17228158183421755
1,0.15,0.17257525938203555
2,0.2,0.17482085156400914
3,0.25,0.18689998276914915
4,0.3,0.22363489737022996
5,0.35,0.29458463366055804
6,0.4,0.40276934978483014
7,0.45,0.533900611844265
8,0.5,0.6560528870525623
9,0.55,0.7536235428622133
10,0.6,0.8184292458117263
11,0.65,0.848448446315902
12,0.7,0.8476734023610474
13,0.75,0.8170541684794047
14,0.8,0.7546035705474995
15,0.85,0.6478793137920436
16,0.9,0.49534421574529086
