"Name","Runtime","Notes","Tags","lambda_L1","lambda_L2","lambda_tv","aug_iou_multiple","aug_iou_single","standard_iou_multiple","standard_iou_single"
"major-sweep-57","1200","-","","1.15","0.05","0.55","0.8564137174051261","0.8144126514533881","0.8724168970462777","0.8290217668046524"
"driven-sweep-55","1351","-","","1.15","0.75","0.55","0.8578292496444592","0.814380728846168","0.8724168970462777","0.8290217668046524"
"apricot-sweep-48","1205","-","","1.35","0.2","0.65","0.8571987056977473","0.8142859449340466","0.8724168970462777","0.8290217668046524"
"bumbling-sweep-58","1202","-","","1.4","0.7000000000000001","0.45","0.858379326763367","0.8139430513960487","0.8724168970462777","0.8290217668046524"
"silver-sweep-51","1206","-","","1.7000000000000002","0.45","0.55","0.8581766222787773","0.8134215954041774","0.8724168970462777","0.8290217668046524"
"fearless-sweep-56","1201","-","","1.05","0.9","0.75","0.8565141048130751","0.8132087546189773","0.8724168970462777","0.8290217668046524"
"frosty-sweep-49","1203","-","","1.15","0.2","0.95","0.8549127974701696","0.8131588558095861","0.8724168970462777","0.8290217668046524"
"vital-sweep-50","1205","-","","1.65","0","0.8","0.8564367182876649","0.8128952394520825","0.8724168970462777","0.8290217668046524"
"logical-sweep-52","1202","-","","1.4500000000000002","0.25","0.9","0.8557299676182829","0.8125131830582083","0.8724168970462777","0.8290217668046524"
"misunderstood-sweep-15","1264","-","","0.1","1.25","0.1","0.8551129636606571","0.812177749514463","0.8724168970462777","0.8290217668046524"
"crimson-sweep-35","1188","-","","0.15000000000000002","1.4500000000000002","0.15000000000000002","0.8549370010272302","0.8121267444404693","0.8724168970462777","0.8290217668046524"
"serene-sweep-53","1197","-","","1.4","0.1","0.15000000000000002","0.8572512604364032","0.8121020642929098","0.8724168970462777","0.8290217668046524"
"glad-sweep-40","1196","-","","0.4","1.5","0.7000000000000001","0.8544897202395939","0.8119893353308043","0.8724168970462777","0.8290217668046524"
"bumbling-sweep-26","1264","-","","0.1","1.5","0.4","0.8532643294387483","0.8116134786474414","0.8724168970462777","0.8290217668046524"
"prime-sweep-42","1200","-","","0.8","1.3","0.9","0.8547478368129393","0.8114440185334536","0.8724168970462777","0.8290217668046524"
"visionary-sweep-36","1197","-","","0","1.7000000000000002","0.45","0.8530890798050144","0.8112481451681712","0.8724168970462777","0.8290217668046524"
"cool-sweep-41","1202","-","","0.45","1.85","0.5","0.8557591115868436","0.8111096934255839","0.8724168970462777","0.8290217668046524"
"polar-sweep-39","1208","-","","0.6000000000000001","1.7000000000000002","0.75","0.8553174807455226","0.8111047033789662","0.8724168970462777","0.8290217668046524"
"glowing-sweep-38","1190","-","","0","1.4","0.2","0.8525461732582573","0.811078213733608","0.8724168970462777","0.8290217668046524"
"solar-sweep-28","1265","-","","0.4","1.75","0.15000000000000002","0.8558734451146852","0.8108896703670659","0.8724168970462777","0.8290217668046524"
"toasty-sweep-44","1200","-","","1.55","0.8500000000000001","0.95","0.8556490819242402","0.810800285331094","0.8724168970462777","0.8290217668046524"
"golden-sweep-34","1192","-","","0.1","1.2000000000000002","0.35000000000000003","0.8514879016037835","0.810772328204502","0.8724168970462777","0.8290217668046524"
"winter-sweep-46","1202","-","","1.25","0.5","1.35","0.8527814603553382","0.8099805027312589","0.8724168970462777","0.8290217668046524"
"earnest-sweep-16","1263","-","","0.6000000000000001","1.75","0.1","0.8557248743027686","0.809784747179408","0.8724168970462777","0.8290217668046524"
"hearty-sweep-32","1220","-","","0.35000000000000003","1.8","1.05","0.8523518454862915","0.8096389958987372","0.8724168970462777","0.8290217668046524"
"misunderstood-sweep-29","1242","-","","0.15000000000000002","1.3","1","0.8493077175641306","0.8095159249013243","0.8724168970462777","0.8290217668046524"
"distinctive-sweep-47","1202","-","","1.9","0.4","1.1","0.8544106856026649","0.8092988672675075","0.8724168970462777","0.8290217668046524"
"sleek-sweep-27","1266","-","","0.25","2.2","0.30000000000000004","0.8545733228844363","0.8091253337230964","0.8724168970462777","0.8290217668046524"
"soft-sweep-45","1198","-","","1.35","1.25","1.15","0.8540377880495994","0.8090753593777306","0.8724168970462777","0.8290217668046524"
"exalted-sweep-43","1201","-","","0.9","1.15","1.5","0.8510148953447767","0.8083677031582531","0.8724168970462777","0.8290217668046524"
"generous-sweep-30","1183","-","","1","2.0500000000000003","0.7000000000000001","0.8542683796618652","0.807507413612172","0.8724168970462777","0.8290217668046524"
"dry-sweep-12","1194","-","","0.25","0.1","2.35","0.8449422932153077","0.806889955701092","0.8724168970462777","0.8290217668046524"
"noble-sweep-31","1194","-","","0.30000000000000004","0.95","1.75","0.8468760248171181","0.806860928288932","0.8724168970462777","0.8290217668046524"
"clean-sweep-13","1266","-","","0.1","0.15000000000000002","0.95","0.8436488178045211","0.8057469831417181","0.8724168970462777","0.8290217668046524"
"earthy-sweep-21","1262","-","","1.15","2.0500000000000003","1.4500000000000002","0.851642757029145","0.8056709123259779","0.8724168970462777","0.8290217668046524"
"magic-sweep-10","1184","-","","0.15000000000000002","0.5","3.4000000000000004","0.8443866767173736","0.8053286760539019","0.8724168970462777","0.8290217668046524"
"toasty-sweep-33","1198","-","","0.25","2.15","1.75","0.8477376561946788","0.8051050828291081","0.8724168970462777","0.8290217668046524"
"silvery-sweep-11","1171","-","","0","0.30000000000000004","3.75","0.8426134922662852","0.8047013913774068","0.8724168970462777","0.8290217668046524"
"fearless-sweep-14","1267","-","","0.05","0.05","1.8","0.8417275528600158","0.804194193789314","0.8724168970462777","0.8290217668046524"
"peach-sweep-9","1181","-","","0.9","0.5","3.65","0.844788947099735","0.8025040914587799","0.8724168970462777","0.8290217668046524"
"fine-sweep-37","1224","-","","1.2000000000000002","2.8000000000000003","0.2","0.8513126988397005","0.8020432242452504","0.8724168970462777","0.8290217668046524"
"crisp-sweep-17","1267","-","","0.25","1.1","0","0.8499304960836014","0.8012565836493024","0.8724168970462777","0.8290217668046524"
"devoted-sweep-20","1262","-","","3.2","0.4","0.5","0.8509293655549918","0.800904970424152","0.8724168970462777","0.8290217668046524"
"youthful-sweep-2","1184","-","","1.3","0.55","3.4000000000000004","0.843877843534571","0.7997537283860778","0.8724168970462777","0.8290217668046524"
"crisp-sweep-5","1180","-","","1.1","4.5","0.35000000000000003","0.8486933845414542","0.7980128292261989","0.8724168970462777","0.8290217668046524"
"balmy-sweep-8","1180","-","","1.6","0.8500000000000001","2.95","0.8434565077796238","0.7976406125148744","0.8724168970462777","0.8290217668046524"
"ethereal-sweep-19","1260","-","","1.15","2.7","3.3000000000000003","0.8427637974884228","0.7958631709392315","0.8724168970462777","0.8290217668046524"
"frosty-sweep-23","1264","-","","4.55","0.55","1.35","0.847164340310068","0.7954692441135799","0.8724168970462777","0.8290217668046524"
"fast-sweep-22","1263","-","","3.45","4.1000000000000005","3.0500000000000003","0.8462200864432726","0.7952716253544149","0.8724168970462777","0.8290217668046524"
"azure-sweep-6","1181","-","","3.35","5","3.8","0.8452600206258192","0.7944834369461926","0.8724168970462777","0.8290217668046524"
"comfy-sweep-1","1272","-","","4.25","4.25","2.85","0.846222510851578","0.7944601474084716","0.8724168970462777","0.8290217668046524"
"eternal-sweep-7","1186","-","","4.9","2.5500000000000003","3.65","0.8445927841198198","0.7935186076960761","0.8724168970462777","0.8290217668046524"
"treasured-sweep-24","1261","-","","1.55","1.2000000000000002","3.95","0.8394747446040463","0.7927198603043043","0.8724168970462777","0.8290217668046524"
"exalted-sweep-25","1265","-","","2.5500000000000003","0.6000000000000001","3.6","0.8398689969833925","0.7911626308220129","0.8724168970462777","0.8290217668046524"
"blooming-sweep-4","1184","-","","0.35000000000000003","3.2","4.8500000000000005","0.8362426649543795","0.7897928112333497","0.8724168970462777","0.8290217668046524"
"upbeat-sweep-54","1249","-","","2.25","0.1","0.05","0.8413251749481441","0.7878623135558782","0.8724168970462777","0.8290217668046524"
"sweepy-sweep-18","1264","-","","3.5","0.55","3.95","0.8378833037409724","0.7872353119945211","0.8724168970462777","0.8290217668046524"
"clean-sweep-3","1187","-","","3.2","0.30000000000000004","4.2","0.8370772011288683","0.7868865812376786","0.8724168970462777","0.8290217668046524"
