,D_value,sIoU,dIoU
0,0.05,0.8290244274170732,0.8285020116525973
1,0.1,0.8290244274170732,0.827751236517144
2,0.15000000000000002,0.8290244274170732,0.8267094419090159
3,0.2,0.8290244274170732,0.8254611701878218
4,0.25,0.8290244274170732,0.8239347383546698
5,0.3,0.8290244274170732,0.8219174719916472
6,0.35000000000000003,0.8290244274170732,0.819108732991512
7,0.4,0.8290244274170732,0.8154417992877953
8,0.45,0.8290244274170732,0.8103674613575772
9,0.5,0.8290244274170732,0.8034012360618324
10,0.55,0.8290244274170732,0.7934082276243872
11,0.6000000000000001,0.8290244274170732,0.7783905320780796
12,0.6500000000000001,0.8290244274170732,0.7529226339640507
13,0.7000000000000001,0.8290244274170732,0.7041762830974423
14,0.7500000000000001,0.8290244274170732,0.5910237250435889
15,0.8,0.8290244274170732,0.27676057295654116
16,0.8500000000000001,0.8290244274170732,0.0019525182266297864
17,0.9000000000000001,0.8290244274170732,0.0
