,D_value,sIoU,dIoU
0,0.05,0.8290244274170732,0.8280059463688915
1,0.1,0.8290244274170732,0.827981017388597
2,0.15000000000000002,0.8290244274170732,0.8277269397276938
3,0.2,0.8290244274170732,0.8275116318181733
4,0.25,0.8290244274170732,0.8269362992609115
5,0.3,0.8290244274170732,0.8261888090865985
6,0.35000000000000003,0.8290244274170732,0.8251872861682664
7,0.4,0.8290244274170732,0.8237628925015248
8,0.45,0.8290244274170732,0.8217323886182003
9,0.5,0.8290244274170732,0.8188897061131527
10,0.55,0.8290244274170732,0.8147137641290609
11,0.6000000000000001,0.8290244274170732,0.807848433677673
12,0.6500000000000001,0.8290244274170732,0.796793889725289
13,0.7000000000000001,0.8290244274170732,0.7751207301297852
14,0.7500000000000001,0.8290244274170732,0.732454793164274
15,0.8,0.8290244274170732,0.6491595945036361
16,0.8500000000000001,0.8290244274170732,0.5029890956580625
17,0.9000000000000001,0.8290244274170732,0.30782392804479414
