,D_value,sIoU,dIoU
0,0.05,0.8290217668046524,0.828419558419185
1,0.1,0.8290217668046524,0.8276983804341446
2,0.15000000000000002,0.8290217668046524,0.8267296724246673
3,0.2,0.8290217668046524,0.8255151724959221
4,0.25,0.8290217668046524,0.8239783348637267
5,0.3,0.8290217668046524,0.8218786650018634
6,0.35000000000000003,0.8290217668046524,0.819184856838259
7,0.4,0.8290217668046524,0.8154815992135761
8,0.45,0.8290217668046524,0.8103949172362945
9,0.5,0.8290217668046524,0.8033291867024567
10,0.55,0.8290217668046524,0.7932835520029716
11,0.6000000000000001,0.8290217668046524,0.7781246635542151
12,0.6500000000000001,0.8290217668046524,0.7523945174405784
13,0.7000000000000001,0.8290217668046524,0.7032510863417747
14,0.7500000000000001,0.8290217668046524,0.5882687323220728
15,0.8,0.8290217668046524,0.2763054002304236
16,0.8500000000000001,0.8290217668046524,0.004262940801872174
17,0.9000000000000001,0.8290217668046524,0.0
